[2026-08-21 13:40:30] BUILD start: none
로그: /tmp/trav_fn_methodb_none   결과: /tmp/gicp_preproc/methodb_none_fn.json
[2026-08-21 14:07:51] SCORE done: methodb_none (exit 0)
[2026-08-21 14:07:52] BUILD start: voxel0.10
  스캔 200개 처리, GICP 성공 174 실패 25 (필터폴백 0)
  스캔 400개 처리, GICP 성공 335 실패 64 (필터폴백 0)
  스캔 600개 처리, GICP 성공 525 실패 74 (필터폴백 0)
  스캔 800개 처리, GICP 성공 719 실패 80 (필터폴백 0)
  스캔 1000개 처리, GICP 성공 917 실패 82 (필터폴백 0)
  스캔 1200개 처리, GICP 성공 1112 실패 87 (필터폴백 0)
  스캔 1400개 처리, GICP 성공 1306 실패 93 (필터폴백 0)
  스캔 1600개 처리, GICP 성공 1503 실패 96 (필터폴백 0)
  스캔 1800개 처리, GICP 성공 1678 실패 121 (필터폴백 0)
  스캔 2000개 처리, GICP 성공 1855 실패 144 (필터폴백 0)
  스캔 2200개 처리, GICP 성공 2050 실패 149 (필터폴백 0)
[2026-08-21 14:09:15] BUILD start: sor
  스캔 200개 처리, GICP 성공 179 실패 20 (필터폴백 0)
  스캔 400개 처리, GICP 성공 348 실패 51 (필터폴백 0)
  스캔 600개 처리, GICP 성공 538 실패 61 (필터폴백 0)
  스캔 800개 처리, GICP 성공 732 실패 67 (필터폴백 0)
  스캔 1000개 처리, GICP 성공 927 실패 72 (필터폴백 0)
  스캔 1200개 처리, GICP 성공 1124 실패 75 (필터폴백 0)
  스캔 1400개 처리, GICP 성공 1320 실패 79 (필터폴백 0)
  스캔 1600개 처리, GICP 성공 1512 실패 87 (필터폴백 0)
  스캔 1800개 처리, GICP 성공 1694 실패 105 (필터폴백 0)
  스캔 2000개 처리, GICP 성공 1881 실패 118 (필터폴백 0)
  스캔 2200개 처리, GICP 성공 2078 실패 121 (필터폴백 0)
  스캔 2400개 처리, GICP 성공 2277 실패 122 (필터폴백 0)
  스캔 2600개 처리, GICP 성공 2476 실패 123 (필터폴백 0)
  스캔 2800개 처리, GICP 성공 2676 실패 123 (필터폴백 0)
  스캔 3000개 처리, GICP 성공 2868 실패 131 (필터폴백 0)
  스캔 3200개 처리, GICP 성공 3067 실패 132 (필터폴백 0)
  스캔 3400개 처리, GICP 성공 3253 실패 146 (필터폴백 0)
  스캔 3600개 처리, GICP 성공 3433 실패 166 (필터폴백 0)
  스캔 3800개 처리, GICP 성공 3621 실패 178 (필터폴백 0)
  스캔 4000개 처리, GICP 성공 3819 실패 180 (필터폴백 0)
  스캔 4200개 처리, GICP 성공 4017 실패 182 (필터폴백 0)
  스캔 4400개 처리, GICP 성공 4217 실패 182 (필터폴백 0)
